,rank,Team,rank_change,year,Part,Pld,W,D,L,GF,GA,GD,Points,previous_cup_wins,won_this_year
179,98,Burundi,0,1993,1.0,3.0,0.0,0.0,3.0,0.0,4.0,-4.0,0.0,0,0
180,97,Angola,0,1993,9.0,31.0,7.0,13.0,11.0,39.0,43.0,-4.0,34.0,0,0
181,96,Uganda,0,1993,7.0,23.0,4.0,3.0,16.0,21.0,38.0,-17.0,15.0,0,0
182,95,South Africa,0,1993,11.0,50.0,18.0,16.0,16.0,55.0,48.0,7.0,70.0,0,0
183,92,Eswatini,-1,1993,,,,,,,,,,0,0
184,90,Ethiopia,-2,1993,11.0,30.0,7.0,4.0,19.0,31.0,67.0,-36.0,25.0,1,0
185,126,Benin,2,1993,4.0,14.0,0.0,5.0,9.0,7.0,24.0,-17.0,5.0,0,0
186,123,Burkina Faso,4,1993,13.0,52.0,10.0,17.0,25.0,51.0,78.0,-27.0,47.0,0,0
187,106,Togo,2,1993,8.0,25.0,3.0,8.0,14.0,19.0,42.0,-23.0,17.0,0,0
188,116,Liberia,4,1993,2.0,5.0,1.0,2.0,2.0,5.0,7.0,-2.0,5.0,0,0
189,117,Sudan,2,1993,9.0,27.0,7.0,7.0,13.0,29.0,42.0,-13.0,28.0,1,0
190,56,Gabon,2,1993,8.0,25.0,7.0,10.0,8.0,24.0,27.0,-3.0,31.0,0,0
191,46,Zimbabwe,3,1993,5.0,15.0,3.0,2.0,10.0,16.0,31.0,-15.0,11.0,0,0
192,63,Senegal,6,1993,17.0,71.0,30.0,18.0,23.0,87.0,58.0,29.0,108.0,0,0
193,75,Mali,2,1993,13.0,59.0,21.0,21.0,17.0,71.0,69.0,2.0,84.0,0,0
194,72,Kenya,0,1993,6.0,17.0,2.0,4.0,11.0,11.0,31.0,-20.0,10.0,0,0
195,70,DR Congo,0,1993,20.0,80.0,21.0,29.0,30.0,94.0,107.0,-13.0,92.0,2,0
196,69,Malawi,0,1993,3.0,10.0,2.0,2.0,6.0,9.0,15.0,-6.0,8.0,0,0
197,62,Guinea,-1,1993,14.0,52.0,15.0,18.0,19.0,65.0,72.0,-7.0,63.0,0,0
198,81,Niger,-1,1993,2.0,6.0,0.0,1.0,5.0,1.0,9.0,-8.0,1.0,0,0
199,41,Ghana,1,1993,24.0,105.0,54.0,23.0,28.0,138.0,93.0,45.0,185.0,4,0
200,16,Nigeria,0,1993,20.0,104.0,57.0,24.0,23.0,146.0,95.0,50.0,195.0,1,0
201,36,Tunisia,1,1993,21.0,83.0,25.0,30.0,27.0,99.0,97.0,2.0,105.0,0,0
202,34,Ivory Coast,1,1993,25.0,106.0,48.0,30.0,28.0,152.0,111.0,41.0,174.0,1,0
203,33,Algeria,2,1993,20.0,80.0,28.0,24.0,28.0,97.0,93.0,4.0,108.0,1,0
204,31,Egypt,4,1993,26.0,111.0,60.0,24.0,27.0,175.0,97.0,78.0,204.0,3,0
205,30,Morocco,0,1993,19.0,74.0,29.0,25.0,20.0,87.0,65.0,22.0,112.0,1,0
206,29,Zambia,4,1993,18.0,69.0,27.0,19.0,23.0,83.0,70.0,13.0,100.0,0,0
207,24,Cameroon,2,1993,21.0,95.0,46.0,31.0,18.0,142.0,90.0,52.0,169.0,2,0
208,84,Sierra Leone,1,1993,3.0,8.0,1.0,3.0,4.0,4.0,14.0,-10.0,6.0,0,0
209,144,Mauritania,1,1993,3.0,10.0,1.0,2.0,7.0,4.0,16.0,-12.0,5.0,0,0
210,149,Libya,1,1993,3.0,11.0,3.0,5.0,3.0,12.0,13.0,-1.0,14.0,0,0
211,153,Gambia,1,1993,2.0,8.0,3.0,1.0,4.0,6.0,10.0,-4.0,10.0,0,0
212,154,Namibia,-1,1993,4.0,13.0,1.0,3.0,9.0,11.0,31.0,-20.0,6.0,0,0
213,155,Seychelles,2,1993,,,,,,,,,,0,0
214,157,CAR,4,1993,,,,,,,,,,0,0
215,161,Equatorial Guinea,2,1993,4.0,19.0,8.0,5.0,6.0,20.0,18.0,2.0,29.0,0,0
216,142,Cape Verde,0,1993,4.0,16.0,5.0,8.0,3.0,14.0,12.0,2.0,21.0,0,0
217,123,Burkina Faso,0,1993,13.0,52.0,10.0,17.0,25.0,51.0,78.0,-27.0,47.0,0,0
218,126,Benin,0,1993,4.0,14.0,0.0,5.0,9.0,7.0,24.0,-17.0,5.0,0,0
219,132,Guinea-Bissau,1,1993,4.0,12.0,0.0,3.0,9.0,4.0,19.0,-15.0,3.0,0,0
220,135,Lesotho,0,1993,,,,,,,,,,0,0
221,137,Botswana,0,1993,1.0,3.0,0.0,0.0,3.0,2.0,9.0,-7.0,0.0,0,0
222,128,Mauritius,1,1993,1.0,3.0,0.0,0.0,3.0,2.0,8.0,-6.0,0.0,0,0
223,98,Angola,1,1993,9.0,31.0,7.0,13.0,11.0,39.0,43.0,-4.0,34.0,0,0
224,97,Eswatini,5,1993,,,,,,,,,,0,0
225,96,South Africa,1,1993,11.0,50.0,18.0,16.0,16.0,55.0,48.0,7.0,70.0,0,0
226,95,Uganda,-1,1993,7.0,23.0,4.0,3.0,16.0,21.0,38.0,-17.0,15.0,0,0
227,101,Tanzania,2,1993,3.0,9.0,0.0,3.0,6.0,6.0,18.0,-12.0,3.0,0,0
228,91,Ethiopia,1,1993,11.0,30.0,7.0,4.0,19.0,31.0,67.0,-36.0,25.0,1,0
229,86,Madagascar,0,1993,1.0,5.0,2.0,2.0,1.0,7.0,7.0,0.0,8.0,0,0
230,102,Burundi,4,1993,1.0,3.0,0.0,0.0,3.0,0.0,4.0,-4.0,0.0,0,0
231,103,Congo,1,1993,7.0,26.0,7.0,7.0,12.0,27.0,37.0,-10.0,28.0,1,0
232,119,Liberia,3,1993,2.0,5.0,1.0,2.0,2.0,5.0,7.0,-2.0,5.0,0,0
233,114,Togo,8,1993,8.0,25.0,3.0,8.0,14.0,19.0,42.0,-23.0,17.0,0,0
234,118,Sudan,1,1993,9.0,27.0,7.0,7.0,13.0,29.0,42.0,-13.0,28.0,1,0
235,105,Mozambique,1,1993,5.0,15.0,0.0,4.0,11.0,8.0,33.0,-25.0,4.0,0,0
236,166,Chad,2,1993,,,,,,,,,,0,0
237,94,Uganda,-1,1993,7.0,23.0,4.0,3.0,16.0,21.0,38.0,-17.0,15.0,0,0
238,95,South Africa,-1,1993,11.0,50.0,18.0,16.0,16.0,55.0,48.0,7.0,70.0,0,0
239,96,Ethiopia,5,1993,11.0,30.0,7.0,4.0,19.0,31.0,67.0,-36.0,25.0,1,0
240,98,Tanzania,-3,1993,3.0,9.0,0.0,3.0,6.0,6.0,18.0,-12.0,3.0,0,0
241,101,Burundi,-1,1993,1.0,3.0,0.0,0.0,3.0,0.0,4.0,-4.0,0.0,0,0
242,102,Angola,4,1993,9.0,31.0,7.0,13.0,11.0,39.0,43.0,-4.0,34.0,0,0
243,104,Mozambique,-1,1993,5.0,15.0,0.0,4.0,11.0,8.0,33.0,-25.0,4.0,0,0
244,99,Eswatini,2,1993,,,,,,,,,,0,0
245,103,Congo,0,1993,7.0,26.0,7.0,7.0,12.0,27.0,37.0,-10.0,28.0,1,0
246,76,Sierra Leone,-8,1993,3.0,8.0,1.0,3.0,4.0,4.0,14.0,-10.0,6.0,0,0
247,81,Niger,0,1993,2.0,6.0,0.0,1.0,5.0,1.0,9.0,-8.0,1.0,0,0
248,89,Madagascar,3,1993,1.0,5.0,2.0,2.0,1.0,7.0,7.0,0.0,8.0,0,0
249,133,Mauritius,5,1993,1.0,3.0,0.0,0.0,3.0,2.0,8.0,-6.0,0.0,0,0
250,131,Guinea-Bissau,-1,1993,4.0,12.0,0.0,3.0,9.0,4.0,19.0,-15.0,3.0,0,0
251,138,Lesotho,3,1993,,,,,,,,,,0,0
252,140,Botswana,3,1993,1.0,3.0,0.0,0.0,3.0,2.0,9.0,-7.0,0.0,0,0
253,74,Kenya,2,1993,6.0,17.0,2.0,4.0,11.0,11.0,31.0,-20.0,10.0,0,0
254,144,Mauritania,0,1993,3.0,10.0,1.0,2.0,7.0,4.0,16.0,-12.0,5.0,0,0
255,130,Benin,4,1993,4.0,14.0,0.0,5.0,9.0,7.0,24.0,-17.0,5.0,0,0
256,127,Burkina Faso,4,1993,13.0,52.0,10.0,17.0,25.0,51.0,78.0,-27.0,47.0,0,0
257,113,Togo,-1,1993,8.0,25.0,3.0,8.0,14.0,19.0,42.0,-23.0,17.0,0,0
258,119,Sudan,1,1993,9.0,27.0,7.0,7.0,13.0,29.0,42.0,-13.0,28.0,1,0
259,123,Liberia,4,1993,2.0,5.0,1.0,2.0,2.0,5.0,7.0,-2.0,5.0,0,0
260,125,Gambia,-28,1993,2.0,8.0,3.0,1.0,4.0,6.0,10.0,-4.0,10.0,0,0
261,33,Ivory Coast,-1,1993,25.0,106.0,48.0,30.0,28.0,152.0,111.0,41.0,174.0,1,0
